         2442696 function calls (2427279 primitive calls) in 1.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2941    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     2874    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     4283    0.001    0.000    0.001    0.000 artist.py:832(get_animated)
      163    0.001    0.000    0.002    0.000 colors.py:195(_to_rgba_no_colorcycle)
       22    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      678    0.001    0.000    0.001    0.000 function_base.py:244(iterable)
     1157    0.001    0.000    0.003    0.000 __init__.py:101(check_in_list)
    303/7    0.001    0.000    1.138    0.163 <frozen importlib._bootstrap_external>:842(exec_module)
     4471    0.001    0.000    0.001    0.000 artist.py:1456(<genexpr>)
        4    0.001    0.000    0.001    0.000 {built-in method gi._gi.flags_add}
      137    0.001    0.000    0.001    0.000 types.py:68(_setup_fields)
      291    0.001    0.000    0.003    0.000 fromnumeric.py:70(_wrapreduction)
      604    0.001    0.000    0.002    0.000 font_manager.py:1206(score_weight)
      216    0.001    0.000    0.246    0.001 artist.py:1327(__init__)
        1    0.001    0.001    0.008    0.008 mathtext.py:1(<module>)
      303    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       26    0.001    0.000    0.001    0.000 TiffImagePlugin.py:357(_delegate)
      316    0.001    0.000    0.022    0.000 overrides.py:166(decorator)
  497/476    0.001    0.000    0.003    0.000 contextlib.py:117(__exit__)
      177    0.001    0.000    0.004    0.000 markers.py:295(_set_marker)
       92    0.001    0.000    0.009    0.000 __init__.py:1338(_preprocess_data)
        6    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1790    0.001    0.000    0.001    0.000 types.py:311(<listcomp>)
      602    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       48    0.001    0.000    0.005    0.000 polynomial.py:166(roots)
      576    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
       48    0.001    0.000    0.002    0.000 linalg.py:989(eigvals)
      127    0.001    0.000    0.055    0.000 docstring.py:36(__call__)
     1867    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      163    0.001    0.000    0.007    0.000 types.py:228(__init__)
        1    0.001    0.001    0.002    0.002 decoder.py:343(raw_decode)
     2184    0.001    0.000    0.001    0.000 inspect.py:80(ismethod)
  357/354    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1394(__init__)
      226    0.001    0.000    0.002    0.000 transforms.py:1900(__init__)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1641(_parseNoCache)
     1819    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
      114    0.001    0.000    0.445    0.004 artist.py:1730(kwdoc)
     1480    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      411    0.001    0.000    0.002    0.000 copy.py:258(_reconstruct)
       30    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
      602    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      616    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      909    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      172    0.001    0.000    0.001    0.000 font_manager.py:826(set_weight)
     1139    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2546    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
1187/1103    0.001    0.000    0.008    0.000 {built-in method builtins.next}
       54    0.001    0.000    0.006    0.000 lines.py:722(draw)
      954    0.001    0.000    0.002    0.000 artist.py:405(pchanged)
      226    0.001    0.000    0.001    0.000 transforms.py:207(set_children)
     5789    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        6    0.001    0.000    0.001    0.000 {method 'enumerate_versions' of 'gi.Repository' objects}
       20    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      303    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
        8    0.001    0.000    0.002    0.000 ticker.py:787(_set_format)
